id;category;title;time;declared_kcal;calculated_kcal;diff;protein;fat;carbs;status;tags;issues
b1;Завтраки;Шакшука с тостом;15 мин;410;408;2;22;20;35;ok;быстро;
b2;Завтраки;Сырники (Fit Version);25 мин;380;341;39;35;9;30;minor_review;больше белка, сытно, можно заранее;Умеренное расхождение КБЖУ: заявлено 380, по БЖУ 341
b3;Завтраки;Овсяноблин с сыром;10 мин;420;414;6;25;18;38;ok;быстро, сытно;
b4;Завтраки;Скрэмбл с креветками и хлебом;10 мин;390;391;1;32;15;32;ok;быстро, больше белка, сытно;
b5;Завтраки;Ленивая овсянка «Tiramisu»;5 мин;360;352;8;18;8;52;ok;быстро, больше углеводов, можно заранее;
b6;Завтраки;Авокадо-тост с яйцом;7 мин;420;424;4;18;24;34;ok;быстро;
b7;Завтраки;Яичные маффины;25 мин;350;348;2;26;16;25;ok;сытно, можно заранее;
b8;Завтраки;Банановые панкейки;15 мин;390;386;4;16;10;58;ok;быстро, больше углеводов;
b9;Завтраки;Гречка с грибами и яйцом;15 мин;400;406;6;22;14;48;ok;быстро, больше углеводов;
b10;Завтраки;Творожное суфле;5 мин;340;335;5;36;7;32;ok;быстро, больше белка, можно заранее;
b11;Завтраки;Ролл с курицей;7 мин;380;380;0;30;12;38;ok;быстро, больше белка, сытно;
b12;Завтраки;Тост с арахисовой пастой;3 мин;440;446;6;16;22;46;ok;быстро, больше углеводов;
b13;Завтраки;Омлет «Пуляр» с хлебом;15 мин;390;379;11;24;19;28;ok;быстро;
b14;Завтраки;Киноа-боул с ягодами;20 мин;420;419;1;16;15;55;ok;больше углеводов;
b15;Завтраки;Драники с рыбой;30 мин;370;375;5;22;15;38;ok;можно заранее;
b16;Завтраки;Домашняя гранола;40 мин;440;442;2;20;18;50;ok;больше углеводов, можно заранее;
b17;Завтраки;Бутерброд с тунцом;10 мин;390;388;2;34;12;36;ok;быстро, больше белка, сытно, можно заранее;
b18;Завтраки;Яблочные оладьи;15 мин;360;361;1;18;9;52;ok;быстро, больше углеводов;
b19;Завтраки;Пшенная каша с тыквой;25 мин;380;376;4;14;8;62;ok;больше углеводов;
b20;Завтраки;Кесадилья с яйцом;10 мин;410;404;6;24;20;32;ok;быстро;
b21;Завтраки;Королевский пашот;10 мин;430;438;8;26;22;34;ok;быстро, сытно;
b22;Завтраки;Творожные вафли;15 мин;390;388;2;32;12;38;ok;быстро, больше белка, сытно;
b23;Завтраки;Рисовая каша на кокосовом;20 мин;410;410;0;8;18;54;ok;больше углеводов;
